VendorName,AvgStockTurnOver
ALISA CARR BEVERAGES,0.6153846153846154
ALTAMAR BRANDS LLC,0.959375
AMERICAN SPIRITS EXCHANGE,0.875
AMERICAN VINTAGE BEVERAGE,0.9628009561241511
ATLANTIC IMPORTING COMPANY,0.8930782217220034
BACARDI USA INC,0.941635632235982
BANFI PRODUCTS CORP,0.9201388333583872
BLACK PRINCE DISTILLERY INC,0.9691358024691358
BRONCO WINE COMPANY,0.8226007812814627
BROWN-FORMAN CORP,0.9310326152777603
BULLY BOY DISTILLERS,0.9461652222596153
CALEDONIA SPIRITS INC,0.863362223097157
CAMPARI AMERICA,0.9463915462888458
CANDIA VINEYARDS,0.9610848618818418
CASTLE BRANDS CORP.,0.9581518162370327
CENTEUR IMPORTS LLC,0.7739529531705635
CHARLES JACQUIN ET CIE INC,0.9479390367009837
CONSTELLATION BRANDS INC,0.9249672486565572
CRUSH WINES,0.8512175997039582
Circa Wines,0.7556758172807745
DELICATO VINEYARDS INC,0.9269030235761142
DIAGEO CHATEAU ESTATE WINES,0.8679929465432226
DIAGEO NORTH AMERICA INC,0.95316939774275
DISARONNO INTERNATIONAL LLC,0.9755772939854562
DJINN SPIRITS LLC,0.8811163320021351
DUGGANS DISTILLED PRODUCTS,0.8971170190104569
Dunn Wine Brokers,0.7660221307374232
E & J GALLO WINERY,0.9168250364378521
EDRINGTON AMERICAS,0.8849541710218352
FABRIZIA SPIRITS LLC,0.899138086182507
FLAG HILL WINERY & VINEYARD,0.9248935230393748
FORTUNE WINE BROKERS LLC,0.8415455528312948
FREDERICK WILDMAN & SONS,0.8605332421547721
FULCHINO VINEYARD INC,0.8799569696645062
HAUNTING WHISPER VYDS,0.9134194297971221
HEAVEN HILL DISTILLERIES,0.9554882689456363
HIGHLAND WINE MERCHANTS LLC,0.7083333333333334
"HOOD RIVER DISTILLERS, Inc.",0.9483333333333334
INCREDIBREW INC,0.930761520741743
JEWELL TOWNE VINEYARDS,0.8723842562710026
JIM BEAM BRANDS COMPANY,0.9471057804921693
KLIN SPIRITS LLC,0.8799385138670852
KOBRAND CORPORATION,0.8854831382257595
LABELLE VYDS AND WINERY,0.9293490993532619
LAIRD & CO,0.9198435470382215
LATITUDE BEVERAGE COMPANY,0.8956614453537107
LUXCO INC,0.961564650318247
M S WALKER INC,0.896111468726609
MAJESTIC FINE WINES,0.9337657496164732
MANGO BOTTLING INC,0.9380527996212003
MARSALLE COMPANY,0.9481268928206186
MARTIGNETTI COMPANIES,0.9003646416722451
MCCORMICK DISTILLING CO,0.9636387376317461
MHW LTD,0.932867598122827
MILTONS DISTRIBUTING CO,0.9166666666666666
MOET HENNESSY USA INC,0.9146018645682205
MOONLIGHT MEADERY,0.8715664122120953
NICHE W & S,0.8527664895279775
OLE SMOKY DISTILLERY LLC,0.9437729635961466
PALM BAY INTERNATIONAL INC,0.9224746897246039
PARK STREET IMPORTS LLC,0.7513061650992685
PERFECTA WINES,0.8817136602202038
PERNOD RICARD USA,0.9265206546121642
PHILLIPS PRODUCTS CO.,0.9808478942953651
PINE STATE TRADING CO,0.8793138500402513
POVERTY LANE ORCHARDS,0.9166666666666666
PREMIER DISTRIBUTORS,0.8533846907198042
"PREMIUM PORT WINES, INC.",0.9760765393341175
PROXIMO SPIRITS INC.,0.9357758484292225
PSP WINES,0.8600489820728476
R.P.IMPORTS INC,0.9142857142857143
REMY COINTREAU USA INC,0.9473501585386686
SAZERAC CO INC,0.9505781618861537
SAZERAC NORTH AMERICA INC.,0.9632392591687519
SEA BREEZE CELLARS LLC,0.8959575783279233
SEA HAGG DISTILLERY LLC,0.9403658382445433
SHAW ROSS INT L IMP LTD,0.9187157320756449
SIDNEY FRANK IMPORTING CO,0.9628868693595531
SMOKY QUARTZ DISTILLERY LLC,0.7838345864661654
SOUTHERN GLAZERS W&S OF NE,0.8255516840882695
SOUTHERN WINE & SPIRITS NE,0.903225533472043
STATE WINE & SPIRITS,0.866970059363694
STE MICHELLE WINE ESTATES,0.906734489160833
STELLAR IMPORTING CO LLC,0.844898816549361
"STOLI GROUP,(USA) LLC",0.933995519709546
SURVILLE ENTERPRISES CORP,0.8770709366765154
SWEET BABY VINEYARD,0.8766375488418024
SWEETWATER FARM,0.8510474173802915
TAKARA SAKE USA INC,0.9841050722225129
TALL SHIP DISTILLERY LLC,0.9269776876267748
TAMWORTH DISTILLING,0.797077922077922
THE IMPORTED GRAPE LLC,0.8075691642655883
THE PIERPONT GROUP LLC,0.9465648854961832
TREASURY WINE ESTATES,0.9224634551609948
TRINCHERO FAMILY ESTATES,0.9081631470682957
TY KU LLC,0.9769824612781466
ULTRA BEVERAGE COMPANY LLP,0.9007753501088527
VINEXTRA INC,0.9206912465726277
VINEYARD BRANDS INC,0.9402822147796793
VINILANDIA USA,0.8468637383658303
VRANKEN AMERICA,0.9081504530651342
WALPOLE MTN VIEW WINERY,0.820547968078008
WEIN BAUER INC,0.8470149253731343
WESTERN SPIRITS BEVERAGE CO,0.8969295442621467
WILLIAM GRANT & SONS INC,0.9082371095665188
WINE GROUP INC,0.9010363531228692
ZORVINO VINEYARDS,0.9127376844170865
